filename,store_name,store_address,store_code,taxpayer_name,voen,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,nagdsiz,nagd,bonus,avans,nisye,queue_number,nka_model,nka_serial,fiscal_id,nmq_registration,refund_amount,refund_date,refund_time
FRmu15Lkeqqz.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,Zohra Babayeva,25.05.2023,20:13:17,,,,,,,0.96,0.00,0.00,0.00,0.00,0.00,572,NBA FiscalBox,900119100844,FRmu15Lkeqqz,0000007877,0.17,,
393uNgMhnoxS.jpeg,ANC GROUP,,1701102351-14010,ANC GROUP,1701102351,,,,,SOK VİTAMİN 11T ERİK P,1.0,2.29,2.29,2.29,,0.35,2.29,0.00,0.00,0.00,0.00,129,IPOS AZ1001,ESOF000127,393uNgMhnoxs,0000071135,0.06,08.06.2023,05:48
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ET POPKEK KARM144Q.,1.0,2.0,2.0,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,TDAYS QATI SUD2000R. (ədəd),1.0,3.99,3.99,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,KESYU SADE KG 320M (kg),0.2,24.59,4.92,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ALMA PALMET KG (kg),0.79,155.0,1.22,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ƏDV-dən azad ЕП POPKEK LİMN144Q. (ədəd),1.0,2.0,2.0,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,MANDARIN MURKOT KG (kg),0.828,2.79,2.31,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ƏDV-dən azad HEYVA SUPER KG (kg),0.74,1.85,1.37,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ALMA GRANNY SMİTH KG (kg),0.332,1.45,0.48,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ƏDV-dən azad ARMUD ALYANAQ KG (kg),0.64,3.15,2.02,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN,,1403051411-14007,AZƏRBAYCAN,1403051411,,EZİMOV.,10.01.2024,13:26:39,ƏDV-dən azad MUSTERİ PAKETİ 31:55 (ədəd),1.0,0.05,105.0,20.36,,,20.36,0.00,0.00,0.00,0.00,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
